Series Name,Series Code,Country Name,Country Code,2020 [2020],2021 [2021],2022 [2022],2023 [2023],2024 [2024],2025 [2025]
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Advanced economies,AME,-4.3000002,5.4000001,2.5999999,0.69999999,1.2,2.2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Afghanistan,AFG,-2.4000001,-20.700001,..,..,..,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Albania,ALB,-3.3,8.8999996,4.8000002,2.8,3.3,3.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Algeria,DZA,-5.0999999,3.4000001,3.2,1.7,2.4000001,2.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Angola,AGO,-5.5999999,1.1,3.5,2.5999999,3.3,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Argentina,ARG,-9.8999996,10.4,5.1999998,-2,2.3,2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Armenia,ARM,-7.1999998,5.6999998,12.6,4.4000001,4.8000002,5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Azerbaijan,AZE,-4.1999998,5.5999999,4.5999999,2.2,2.5,2.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,"Bahamas, The",BHS,-23.799999,13.7,11,4.3000002,2,1.9
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bahrain,BHR,-4.5999999,2.7,4.9000001,2.7,3.2,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bangladesh,BGD,3.4000001,6.9000001,7.0999999,5.1999998,6.1999998,6.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Barbados,BRB,-13.7,0.69999999,10,4.9000001,3.9000001,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Belarus,BLR,-0.69999999,2.4000001,-4.6999998,0.60000002,1.4,1.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Belize,BLZ,-13.4,15.2,9.6000004,2.4000001,2,2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Benin,BEN,3.8,7.1999998,6,6,5.9000001,6.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bhutan,BTN,-2.3,-3.3,4.3000002,4.5,3.0999999,4.3000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bolivia,BOL,-8.6999998,6.0999999,3.0999999,2.5,2,2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bosnia and Herzegovina,BIH,-3,7.4000001,3.9000001,2.5,3,3.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Botswana,BWA,-8.6999998,11.8,6.5,4,4,4
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Brazil,BRA,-3.3,5,2.9000001,1.2,1.4,2.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bulgaria,BGR,-4,7.5999999,3.4000001,1.5,2.8,3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Burkina Faso,BFA,1.9,6.9000001,2.5,4.3000002,4.8000002,5.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Burundi,BDI,0.30000001,3.0999999,1.8,3,3.9000001,4.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Cabo Verde,CPV,-14.8,7,15,4.8000002,5.4000001,5.3000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Cambodia,KHM,-3.0999999,3,5.1999998,5.5,6.0999999,6.3000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Cameroon,CMR,0.5,3.5999999,3.4000001,3.9000001,4.1999998,4.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Central African Republic,CAF,1,1,0,3,3.8,3.8
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Chad,TCD,-1.6,-1.2,2.2,3.2,3.4000001,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Chile,CHL,-6,11.7,2.4000001,-0.40000001,1.8,2.2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,China,CHN,2.2,8.3999996,3,5.5999999,4.5999999,4.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Colombia,COL,-7.3000002,11,7.5,1.7,2,3.2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Comoros,COM,-0.30000001,2.0999999,2.3,2.8,2.9000001,3.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,"Congo, Dem. Rep.",COD,1.7,6.1999998,8.6000004,7.6999998,7.5999999,7.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,"Congo, Rep.",COG,-6.1999998,-2.2,1.5,3.5,4.3000002,2.8
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Costa Rica,CRI,-4.3000002,7.8000002,4.3000002,2.9000001,3,3.2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Cote d'Ivoire,CIV,1.7,7,6.6999998,6.1999998,6.5,6.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Croatia,HRV,-8.6000004,13.1,6.3000002,1.9,3.0999999,3.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Djibouti,DJI,1.2,4.8000002,3,4.4000001,5.4000001,5.9000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Dominica,DMA,-16.6,6.9000001,5.8000002,4.6999998,4.5999999,4.1999998
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Dominican Republic,DOM,-6.6999998,12.3,4.9000001,4.0999999,4.8000002,5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,East Asia and Pacific,EAS,1.2,7.5,3.5,5.5,4.5999999,4.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Ecuador,ECU,-7.8000002,4.1999998,2.9000001,2.5999999,2.8,2.7
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,"Egypt, Arab Rep.",EGY,3.5999999,3.3,6.5999999,4,4,4.6999998
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,El Salvador,SLV,-8.1999998,10.3,2.8,2.3,2.0999999,2.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Emerging market and developing economies,EMD,-1.5,6.9000001,3.7,4,3.9000001,4
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Equatorial Guinea,GNQ,-4.1999998,-2.8,2.9000001,-3.7,-6,-3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Eritrea,ERI,-0.5,2.9000001,2.5,2.7,2.9000001,2.8
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Eswatini,SWZ,-1.6,7.9000001,0.40000001,3,2.9000001,2.7
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Ethiopia,ETH,6.0999999,6.3000002,6.4000001,6,6.5999999,7
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Euro Area,EMU,-6.0999999,5.4000001,3.5,0.40000001,1.3,2.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Europe and Central Asia,ECS,-1.7,7.0999999,1.2,1.4,2.7,2.7
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Fiji,FJI,-17,-5.0999999,16.1,5,4.0999999,3.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Gabon,GAB,-1.8,1.5,3.0999999,3.0999999,3,3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,"Gambia, The",GMB,0.60000002,4.3000002,4.3000002,5,5.5,5.8000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Georgia,GEO,-6.8000002,10.5,10.1,4.4000001,5,5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Ghana,GHA,0.5,5.4000001,3.2,1.6,2.9000001,4.8000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Grenada,GRD,-13.8,4.6999998,5.8000002,3.5999999,3.3,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Guatemala,GTM,-1.8,8,4,3.2,3.5,3.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Guinea,GIN,4.9000001,4.3000002,4.6999998,5.5999999,5.8000002,5.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Guinea-Bissau,GNB,1.5,6.4000001,3.5,4.5,4.5,4.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Guyana,GUY,43.5,20,57.799999,25.200001,21.200001,28.200001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Haiti,HTI,-3.3,-1.8,-1.7,-2.4000001,1.7,2.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Honduras,HND,-9,12.5,4,3.5,3.7,3.8
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Hungary,HUN,-4.6999998,7.1999998,4.5999999,0.60000002,2.5999999,2.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,India,IND,-5.8000002,9.1000004,6.9000001,6.3000002,6.4000001,6.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Indonesia,IDN,-2.0999999,3.7,5.3000002,4.9000001,4.9000001,5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,"Iran, Islamic Rep.",IRN,1.9,4.6999998,2.9000001,2.2,2,1.9
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Iraq,IRQ,-12,1.6,7,-1.1,6,3.7
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Jamaica,JAM,-9.8999996,4.5999999,4.1999998,2,1.7,1.2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Jordan,JOR,-1.6,2.2,2.5,2.4000001,2.4000001,2.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Jpan,JPN,-4.3000002,2.2,1,0.80000001,0.69999999,0.60000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Kazakhstan,KAZ,-2.5999999,4.0999999,3.3,3.5,4,3.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Kenya,KEN,-0.30000001,7.5,5.1999998,5,5.1999998,5.3000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Kiribati,KIR,-1.4,7.9000001,1.2,2.5,2.4000001,2.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Kosovo,XKX,-5.3000002,10.7,3.5,3.7,4.4000001,4.1999998
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Kuwait,KWT,-8.8999996,1.3,7.9000001,1.3,2.5999999,2.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Kyrgyz Republic,KGZ,-8.3999996,6.1999998,7,3.5,4,4
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Lao PDR,LAO,0.5,2.5,2.7,3.9000001,4.1999998,4.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Latin America and the Caribbean,LCN,-6.1999998,6.9000001,3.7,1.5,2,2.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Lebanon,LBN,-21.4,-7,-2.5999999,-0.5,..,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Lesotho,LSO,-5.5999999,1.6,1.8,2.5999999,3.0999999,3.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Liberia,LBR,-3,5,4.8000002,4.3000002,5.5,5.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Libya,LBY,-29.799999,31.4,-1.2,..,..,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Madagascar,MDG,-7.0999999,5.6999998,3.8,4.1999998,4.8000002,5.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Malawi,MWI,0.80000001,2.8,0.89999998,1.4,2.4000001,3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Malaysia,MYS,-5.5,3.0999999,8.6999998,4.3000002,4.1999998,4.1999998
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Maldives,MDV,-33.5,41.700001,13.9,6.5999999,5.3000002,5.9000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Mali,MLI,-1.2,3.0999999,1.8,4,4,5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Marshall Islands,MHL,-2.2,1.1,1.5,1.9,2.0999999,2.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Mauritania,MRT,-0.89999998,2.4000001,5.1999998,4.5,5.5999999,6.8000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Mauritius,MUS,-14.6,3.5,8.3000002,4.6999998,4.0999999,3.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Mexico,MEX,-8,4.6999998,3,2.5,1.9,2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,"Micronesia, Fed. Sts.",FSM,-1.8,-3.2,-0.60000002,2.9000001,2.8,1.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Middle East and North Africa,MEA,-3.8,3.8,5.9000001,2.2,3.3,3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Moldova,MDA,-7.4000001,13.9,-5.9000001,1.8,4.1999998,4.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Mongolia,MNG,-4.4000001,1.6,4.6999998,5.1999998,6.3000002,6.8000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Montenegro,MNE,-15.3,13,6.0999999,3.4000001,3.0999999,2.9000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Morocco,MAR,-7.1999998,7.9000001,1.1,2.5,3.3,3.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Mozambique,MOZ,-1.2,2.3,4.0999999,5,8.3000002,5.3000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Myanmar,MMR,3.2,-18,3,3,..,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Namibia,NAM,-8,2.7,3.5,2.4000001,1.7,2.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Nauru,NRU,0.69999999,1.5,3,1,2,2.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Nepal,NPL,-2.4000001,4.8000002,5.5999999,4.0999999,4.9000001,5.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Nicaragua,NIC,-1.8,10.3,4,3,3.4000001,3.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Niger,NER,3.5999999,1.4,11.5,6.9000001,12.5,9.1000004
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Nigeria,NGA,-1.8,3.5999999,3.3,2.8,3,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,North Macedonia,MKD,-4.6999998,3.9000001,2.0999999,2.4000001,2.7,2.9000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Oman,OMN,-3.4000001,3.0999999,4.3000002,1.5,2.8,2.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Pakistan,PAK,-0.89999998,5.8000002,6.0999999,0.40000001,2,3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Palau,PLW,-8.8999996,-13.4,-2.8,12.3,9.1000004,4.6999998
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Panama,PAN,-17.9,15.3,10.5,5.6999998,5.8000002,5.9000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Papua New Guinea,PNG,-3.2,0.1,4.5,3.7,4.4000001,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Paraguay,PRY,-0.80000001,4,-0.30000001,4.8000002,4.3000002,4.3000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Peru,PER,-10.9,13.4,2.7,2.2,2.5999999,2.8
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Philippines,PHL,-9.5,5.6999998,7.5999999,6,5.9000001,5.9000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Poland,POL,-2,6.9000001,5.0999999,0.69999999,2.5999999,3.2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Qatar,QAT,-3.5999999,1.5,4.5999999,3.3,2.9000001,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Romania,ROU,-3.7,5.8000002,4.6999998,2.5999999,3.9000001,4.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Russia,RUS,-2.7,5.5999999,-2.0999999,-0.2,1.2,0.80000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Rwanda,RWA,-3.4000001,10.9,8.1000004,6.1999998,7.5,7.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Samoa,WSM,-3.0999999,-7.0999999,-6,5,3.4000001,3.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Sao Tome and Principe,STP,3.0999999,1.9,0.89999998,2.0999999,3.4000001,3.7
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Saudi Arabia,SAU,-4.3000002,3.9000001,8.6999998,2.2,3.3,2.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Senegal,SEN,1.3,6.5,4.1999998,4.6999998,9.8999996,5.1999998
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Serbia,SRB,-0.89999998,7.5,2.3,2.3,3,3.8
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Seychelles,SYC,-8.6000004,5.4000001,8.8000002,3.8,3,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Sierra Leone,SLE,-2,4.0999999,3,3.4000001,3.7,4.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Solomon Islands,SLB,-3.4000001,-0.60000002,-4.0999999,2.5,2.4000001,3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,South Africa,ZAF,-6.3000002,4.9000001,2,0.30000001,1.5,1.6
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,South Asia,SAS,-4.0999999,8.3000002,6,5.9000001,5.0999999,6.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,South Sudan,SSD,9.5,-5.0999999,-2.3,-0.40000001,2.3,2.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Sri Lanka,LKA,-4.5999999,3.5,-7.8000002,-4.3000002,1.2,2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,St. Lucia,LCA,-24.4,12.2,15.4,3.5999999,3.4000001,2.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,St. Vincent and the Grenadines,VCT,-5.3000002,1.3,5,5.5999999,4.8000002,3.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Sub-Saharan Africa,SSF,-2,4.4000001,3.7,3.2,3.9000001,4
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Sudan,SDN,-3.5999999,-1.9,-1,0.40000001,1.5,2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Suriname,SUR,-16,-2.7,1.9,2.4000001,3.2,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Syrian Arab Republic,SYR,-0.2,1.3,-3.5,-5.5,..,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Tajikistan,TJK,4.4000001,9.3999996,8,6.5,5,4.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Tanzania,TZA,2,4.3000002,4.5999999,5.0999999,5.5999999,6.1999998
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Thailand,THA,-6.0999999,1.5,2.5999999,3.9000001,3.5999999,3.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Timor-Leste,TLS,-8.3000002,2.9000001,3.5,3,3.2,3.2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Togo,TGO,1.8,5.3000002,4.9000001,4.9000001,5.3000002,5.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Tonga,TON,0.5,-2.7,-2,2.5,2.8,2.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Trinidad and Tobago,TTO,1.2,..,..,..,..,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Tunisia,TUN,-8.8000002,4.4000001,2.5,2.3,3,3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Turkiye,TUR,1.9,11.4,5.5999999,3.2,4.3000002,4.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Turkmenistan,TKM,6.3,..,..,..,..,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Tuvalu,TUV,-4.9000001,0.30000001,0.60000002,4.1999998,3.0999999,2.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Uganda,UGA,3,3.4000001,4.6999998,5.6999998,6.1999998,6.6999998
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Ukraine,UKR,-3.8,3.4000001,-29.1,2,4.1,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,United Arab Emirates,ARE,-5,4.4000001,7.9000001,2.8,3.4000001,3.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,United States,USA,-2.8,5.9000001,2.0999999,1.1,0.80000001,2.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Uruguay,URY,-6.0999999,4.4000001,5,1.8,2.8,2.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Uzbekistan,UZB,2,7.4000001,5.6999998,5.0999999,5.4000001,5.8000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Vanuatu,VUT,-5,0.60000002,1.9,0.5,4,3.9000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,"Venezuela, RB",VEN,-3.99014378511,..,..,..,..,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Vietnam,VNM,2.9000001,2.5999999,8,6,6.1999998,6.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,West Bank and Gaza,PSE,-11.3,7,3.9000001,3,3,3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,World (WBG members),WLT,-3.0999999,6,3.0999999,2.0999999,2.4000001,3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,"Yemen, Rep.",YEM,-8.5,-1,1.5,-0.5,2,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Zambia,ZMB,-2.8,4.5999999,3.9000001,4.1999998,4.6999998,4.8000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Zimbabwe,ZWE,-7.8000002,8.5,3.4000001,2.9000001,3.4000001,3.4000001
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: Global Economic Prospects,,,,,,,,,
Last Updated: 06/06/2023,,,,,,,,,
